"","klasifikasi","score","text"
"415","Negatif",-2,"ga  ngecek sertifikat vaksin lokasi vaksin loading   jaringan stabil eh pas loading  selesai  layar full putih aneh update   jelek   versi kemarin mending gaush update udah  pake  kemaren kalo "
"416","Negatif",-1,"aplikasi nya   compatible  hp  ya android versi tolong  pengembang  update biar  dipakai   versi android    orang  hp android versi terbaru terimakasih"
"417","Negatif",-3,"udah x vaksin diaplikasi  muncul cuman   sertifikat  cuman bertuliskan sertifikat       apk  dah bukanya mempermudah  mempersulit  ga   lamar pekerjaan aplikasi   buruk"
"418","Positif",1,"lemot banget aplikasinya najis ga niat bikin aplikasi bikin darah  lemotnya  apun  kali kalo  bikin niatin   bikin aplikasinya tolong  perbaikin  hadeeeeh"
"419","Negatif",-3,"  daftar kaga  ya  nama ktp  nik   pas  klik daftar   tulisan priksa   nik  nama aneh  binggung gmna daftarnya "
"420","Positif",1,"apk gak   membantu   bikin stress udah daftar  data ktp  tetep gak "
"421","Positif",1,"sertifikat vaksin susah diakses menu scan    susah diakses penampilan  menarik  rumit   kesusahan"
"422","Positif",1," update terbaru sertifikat  muncul  clear data  hapus aplikasi tetep aja gk muncul tp  web sertifikatnya muncul"
"423","Netral",0,"terpaksa install   perjalanan  pesawat  g  install  terpaksa y  "
"424","Positif",2,"tolong  data vaksin    negri  aprove biar cepat  vaksin   indonesia   daftar n msukan sertifikat vaksin  sbelum pulang dri  negri sya   brangkt    negri   klau  cepat berangkt  terkendala  visa kerja tolong  mempersulit"
"425","Negatif",-1,"aduhhgimana  menjalankan aplikasi kalo pas  liat sertifikat vaksin aja gak bisamalah yg ditampilin warna putih kalo kayak gini gak  gunanya atuh   disuruh download ni aplikasi kalo kagak  dipake tolong sistem nya  perbaiki  ya min   malu kalo  ketahan   mall  garagara aplikasi error  udah coba berkalikali  ttp gak  diakses malu orang dibelakang  nunggu  sinyal   bagus  isi kuota "
"426","Netral",0," masuk nomernya  hp yg hilang  engga  nerima kode otp  registrasi ulang niknya  terdaftar  mengubungi  yg bersangkutan  suruh regis berkala    "
"427","Netral",0,"aplikasi nya  bagus tpkenapa ya  blm  tiket vaksin   dh  bulantolong donk  bantu"
"428","Negatif",-1,"  login aja susah   sandi  email udah bener suruh isi kolom     ngisi email email udah bener   gak  masuk"
"429","Positif",2," bintang   kasih bintang  aplikasi  ancurancuran  bapuk   update sertifikat vaksin   terbaca   klaim ulang klaim ulang  aplikasi  yg sungguh bapuk  ancurancuran"
"430","Positif",2,"kekita  liat sertifikat vaksin  gak muncul signal udah bagus    update  cek sertifikat vaksin emang aneh  hp bagus  udah android aneh "
"431","Negatif",-3,"informasi vaksin  updatedata  app dgn kondisi real dilapangan berbedaketika dihubungi petugas  tau mengakui  menerima  keluhan mengakui    solusihanya permohonan maaf"
"432","Netral",0,"aplikasi susah banget dipakai  klaim sertifikat susah  masukan sesuai   tetep aja ngga  ribet banget udah coba  web tetep ngga  payah"
"433","Netral",0,"   cek sertifikat  muncul warna putih  solusi   update  hapus data  loh"
"434","Netral",0," errorminta diperbarui terusand   dibuka aplikasinya"
"435","Negatif",-3,"aplikasi parah   robot    kopy paste   ulang pertanyaanya  mempermudah   persulit parah pelayananya"
"436","Negatif",-1," lelet  iya  buka pelindungi    ketik nomer  kemarin  lancar aja   lelet banget tolong  perbaiki      pemerin tah    krl  kereta  maal   pelindungi   lelet kayak gini gemana iya  klau pepergian jarak    pelindungi dri hpi dn krtunya vaksin nys  gak berlaku   eror kayak gini seh  parah "
"437","Positif",1," kode verifikasi sdh kali terkirim  nomor     masuktlong  perbaiki  min bikin susah  ngurusnya udah ketik nomor hp tpi tdk  daftar"
"438","Positif",4,"aplikasinya  bagus ku harap   ubdet  fitur lokasi vaksin yg terdekat    terima kasih "
"439","Negatif",-1," kasih saran  input tangal lahirnya mohon  isi input angka  aja  aplikasi  berat"
"440","Negatif",-1,"aplikasi bodohdaftar pakai nomer passport  pas pengisian sertifikat vni  gagal tertulis nik cant be blank  sertifikat vaksin    identitas passport"
"441","Positif",3,"sesuai kebutuhan era digital mantab  memudahkan perjalanan dll"
"442","Netral",0,"sertifikat gak   akses     anjurkan tetep gak  pakai wa  gak "
"443","Netral",0,"apk ngebuh selau   menghilang data       satipun sertifikat  mohon   diperbaiki"
"444","Negatif",-2,"aneh  kali  login  user not found menyebalkan  nomor tlp    terdaftar  susah login"
"445","Positif",3,"pas daftar  muncul nama  nik  cocok  udah  pantes aja   kasih bintang"
"446","Negatif",-4,"ga  data  udh bener  ga   save alasan nya sesuaikan nama  nik  udh bener  duaduanya ga   aplikasi "
"447","Negatif",-3,"   buruk  nomer nik   dipakai orang  aplikasi    kerna   duplikat id pengguna kecewa aplikasi   sekedar alat formalitas"
"448","Negatif",-3,"aplikasi   merepotkan  lambat    dibilang salah  aplikasi   terlambat didunia"
"449","Negatif",-1,"aplikasi    ribet data  kemana    isi data data   diisi  bilangnya sertifikat  tersedia aplikasi nyusahin"
"450","Positif",2," bagusalhamdulillah tdk  kendalamudahan seterus y bagus tdk  kesulitan stiap  buka apk"
"451","Positif",1,"aplikasi  mengalami forced close  seri hp nokia plus  aplikasi  terupdate versi terbaru"
"452","Positif",1,"kalo   mode gelap sma mode offline donk biar  ttep buka wlaupun d daerah sulit sinyalminim quota"
"453","Positif",1,"ngeload teruss   cek riwayat vaksinasi  tes covid aja load  gak muncul  blank putih tampilan nyah nge close  not responding developer nya niat gak sih bikin aplikasi nya"
"454","Negatif",-1,"jelek banget   ganti nomor hp  model yg diinput  nik  nomor hp pas  hp  hilang gimana nih jelek banget aplikasinya ga mutu buang buang anggaran pemerintahan aja payah"
"455","Netral",0,"aplikasi kaga  uda update  gak  scan  signal full bar"
"456","Negatif",-3,"yallah kalo lgi buru ngejar kereta  gagal  repot bngt update   mohon  perbaikin mempersulit aktivitas berpergian    brngkat kerja menyita  bngt "
"457","Positif",1,"gak  daftar sesuaikan nik  nama sperti  ktp udah bner sesuai bgt  coba gak     pake  daftar akun aja gak  mantep emang"
"458","Positif",5," heran aplikasi negara awutan  bikin trus  dibuka kmren aturan transportasi gak  dibuka skrg   lihat sertifikat vaksin gk  cm blank putih doangpadahl  versi sblmnya aman  trus  email  muter  lengkapi   surat vaksin dr faskeslah apalah gk  gk  bikin aplikasi suruh bikin jenang dodol aja programernya"
"459","Negatif",-1,"error gak    ngeblank pdhal  download sertifikat vaksin  tp gk  masyarakat diatur tp mlh mempersulit gini"
"460","Positif",2,"maaf    jgn  perbaruin hp nya  jadul ram    susah terima kasih"
"461","Positif",1," tolong  yg bnr apknya   ngeklaim sertifikat vaksin   negeri aja tdk         kerja hrus pakai barcode diperdulilindungi masak  org semarang  ngurus  jakarta trs untk   apk "
"462","Negatif",-1," lemot  woy jaringan udah bagus   cek sertifikat vaksin aja ga "
"463","Positif",4,"aplikasi udah bagusdan  bermanfaat    jasa tranportasiterutama pesawat  kalo   tambahin fitur mode gelapdark mode"
"464","Negatif",-1,"  vaksin dosis      dosis  muncul sertifikat  sertifikat dosis    dosis  tolong   perbaiki apk nyajadi susah  berpergian"
"465","Negatif",-1,"gara gara   kesulitan  kerja sertifikat      vaksin booster alias vaksin   sertifikat kaga muncul   kesulitan  masuk  kerja terimaksih "
"466","Negatif",-2,"aplikasi bagus saran  akun tdk bsa dibuka krn kehilangan no daftar dgn no yg   ditolak krn nik sdh  terdaftar pakai alamat email yg   tdk bsa dibuka krn  yg   bgmna  buktiin   sertifikat vaksin   aplikasimu coba  teman yg bsa bantu  sya yg gagal paham dgn registrasi aplikasi  krn yg  tau  lupa pin password kehilangan no  tdk bsa dibuka krn   psti   solusinya "
"467","Negatif",-2,"permasalahan muncul   aplikasi   keluhan  aplikasi     pemilik aplikasi mohon maaf  gangguan  dst   solusinya  lihat sartifikat faksin  loading  keluhan       mohon maaf  gangguan  dst  "
"468","Negatif",-1,"aplikasi tolol nama  nik  udh sesuai  aja d bilang salah trus gw  ganti nama  samsudin gituh apk gk mutu"
"469","Negatif",-3,"aplikasinya jelek  gak  buka sertifikat vaksinnya   kecewa  aplikasi   mengakui aplikasi   busukk"
"470","Negatif",-3,"aplikasi    bagus  gampang cek sertifikat vaksin       update  update  sertifikat vaksin hilang    suruh  web  cek sertifikat  web dicek  suruh isi data  ribet banget aplikasi update   buruk pekok   aplikasi menyusahkan masyarakat"
"471","Negatif",-2," ya  cek sertifikat vaksin  blank ga  gambar       gambarnya"
"472","Positif",4,"bagus  daya tahan tubuh   meningkatkan daya tahan tubuh  badan  sehat"
"473","Positif",3,"seneng banget pelayanan nya  telp customer servis nya  tenggah malem  tetep d angkat  d bls dg ramah"
"474","Netral",0,"min adain fitur  ngembaliin akunnya   nomor   pakai  daftar vaksin  hilng     kembalikan gimana ya   ngelamar kerja disuruh   tolong "
"475","Netral",0," buka menu putih semuaaaakayak ubanmendingan gak   update"
"476","Netral",0,"okee udh  sertifikat nya    update   aplikasi"
"477","Positif",1," dipermudah   bikin ribet  utk   aplikasi    dibutuhkan   tambahkan anggota keluarga  eeh  data  valid  utk nik  sesuai"
"478","Positif",1,"tambahkan mode offline   memudahkan penunjukkan sertifikat  kondisi susah signaltidak  sinyal      kondisi sinyal     sertifikat  aplikasi"
"479","Positif",2,"super modulnya gampang diterima mudah difahami saran   tampilan malam  siang    photo profile nya"
"480","Netral",0," bnget buka app nyamuter  coba perhatikan lagimau cek    buka nya"
"481","Negatif",-1,"daftar gagal  nik  nama   sesuai  dinyatakan salah mulu  abis  close apk nya daftar   muncul   mengirimkan otp kali hadehhh"
"482","Negatif",-1,"aplikasi sanggat mengecewakan     masuk  akun    menghubungi  cs disuruh mencoba  berkala      coba    masuk   pengaduan pia wa email   nya   gk  hasil  kecewa"
"483","Negatif",-2," email  terdaftar nomor  terdaftar user not found    ga  ganti email  no hp  udah booster  tolong perbaiki nik   terdaftar    aktivitas"
"484","Negatif",-1,"kacau      update  annoying  menganggu sistem storage hp"
"485","Netral",0,"gimana sihhhh aplikasinya udah  nama sm nik ngetiknya udah bener tetep aja  ket sesuaikan nama  nik trus  gimana coba"
"486","Netral",0,"  kecewa  apk   nya membantu  mencari jalan     memper    ngak niat bikin apk  gak  bikin deh"
"487","Positif",2,"sayang gak  pilihan bintang aplikasi yg   berguna yg udah beneran  vaksin ga muncul sertifikatnya yg belom  vaksin   sampe booster nongol aplikasi ampas ngabisin anggaran doang"
"488","Netral",0,"tolong   perbaiki  aplikasi   download sertifikat   pencet cumen muncul      bacaan download sertifikat"
"489","Negatif",-1,"   menyajikan  informasi menjelang  perjalanan  info  diselenggarakan vaksin"
"490","Negatif",-2,"plis ya pembuat kebijakan  ni udah nurut ngikut vaksin vaksin   peduli lindungi  ga becus urus permasalahan   kalo  kesalahan dilimpahkan  warga  konfirmasi   faskses sungguh mengecewakan kalo  rating minus  kasih  minus "
"491","Netral",0,"mohon utk update nya    jarak nyasebaiknya  sekaliterimakasih"
"492","Netral",0,"   akun  user not found  aneh sistemnya gimana si tolong diperbaiki   menggangu    masuk mall   gedung gedung  menghambat"
"493","Netral",0,"  masuk  aplikasi  berhenti   udh apus data   uninstall  ttp ga "
"494","Positif",2," diupdate  versi terbaru  bikin susah login  nomer telpon  terdaftar otp  sesuai  muncul error username is not allowed to be empty perbaiki  aplikasinya"
"495","Negatif",-1,"aplikasi  buruk daftar aja ga   masuk  data  "
"496","Positif",1,"maaf  kasih bintang pas   cek vaksinmalah vaksin na gx muncul    vaksin  pas butuh  perjalanan tertahan karna vaksin na gx muncultak la suruh masukkan nama sesuai ktp  nik   masukkan   ga  masuk  berulang x disuruh masukkan nama  nikpadahal udah   orang jengkel sajaakhirnya gagal x  muncul tampilan bewarna merahsaran   yg  perjalanan   cetak kartu vaksin    online"
"497","Negatif",-1," update mulu perasaan lg buru ngejer kereta pas  scan suruh update  perasaan udah  update   tp update muluuuu"
"498","Negatif",-1,"parah  update ehac langsung    daftar yg muncul  fto doank"
"499","Positif",1,"kak   login  akun hehee  kalo  yg gapunya hape tinggal masuk loginn apl  untk loginn"
"500","Netral",0," gimana  cek sertifikatnya blank putih  sinyal aman tolong  diperbaiki kalo emang ga sanggup jgn bikin aturan perjalanan pake sertifikat ribet"
"501","Netral",0," ah ka     login  capek bikin bingung  masuk gabisa nik   nama  benarnamun eror nya berbeda bedaada apasih aplikasi  susah   sarankan   no tlpn kalo login pakai nik  nama  bikin susah   pakai gmail  daftar  pakai gmail  pakai no tlpn  no tlpn   hangus    mengganti no hp   no hp  kekemenkes  login      sabar"
"502","Netral",0,"versi aplikasi terbaru  optimal kinerja sistem aplikasi  rentan  gangguan koneksitas bugs  optimalkan peran  kinerja sistem aplikasi  meminimalisir dampak  koneksitas"
"503","Positif",1,"aplikasi  mentah   error  input nik  sdh   nama akun sesuai ktpid card  nama yg tertulis  sertifikat vaksin  salah ditambah  sistem   terima   kombinasikan vaksin dlm negeri  vaksin yg   dapatkan   negeri bikin kecewa"
"504","Netral",0,"  buka sertivikat vaksin buka yg lainpun  aja full layar putih   update  kali   aja  coba logout jg "
"505","Negatif",-1,"   update  merepotkan      menggunakannya   suruh update payahh membuang "
"506","Positif",1,"mohon diperbaiki lgknp   update   cek sertifikat vaksina tdk bs  buka ngeblang z gtpdhl sblm  update  z bs langsung dibukaklw ky gini trsan gmn bs berfungsi dgn  applikasi peduli lindunga"
"507","Negatif",-4," aplikasi rusak ya   tulisan tolong isi kolom     udah terisi   sampah banget bikin susah"
"508","Negatif",-2,"update nya maksa   update  ga  akses akun   daftar  ga  krn nik  terdaftar trus  gimana "
"509","Negatif",-2,"kayaknya  kacamata khususkerana layar hp putih   g   baca  kasat mata"
"510","Negatif",-1," aplikasi si ui nya mudah dimengerti  mines nya update mulu  gatau perubahan  update nya  kaya  gitu gitu aja"
"511","Netral",0,"gak  log in  keterangan nya user  ditemukan   vaksin kali"
"512","Negatif",-1,"aplikasi cacat sertifikat    sampe  udah dihubungi  gaada solusi nya  disuruh pake  manual"
"513","Positif",1,"   pedulilindungi sulit diakses saaat mengklaim sertifikat  sulit"
"514","Netral",0,"   diperbaharuipasti   tampilanpadahal urgent banget  lihat  donwload hasil test covidyang  tuh layar putih "
"515","Negatif",-1,"kak maaf   udah booster  maret kemaren  berhubung  th nya   juni  sertifikatnya ngga langsung    udh th    terkirim ya   apk nya abis  ganti nomer  cek  peduli lindungi     temen  udh  "
"516","Negatif",-2,"minkoq ga  registrasi yabaru  ijin aplikasi kamera ga  "
"517","Netral",0,"tolong dibenahisebelum update  cek sertifikat vaksinsetelah update  ndak bisacuma layar putih"
"518","Netral",0,"udah booster nih  error gak  lihat sertifikat    kemarin update aplikasi mah rajin  bagus  jelek perbaiki"
"519","Positif",1," cek sertifikat vaksin  muncul informasi apapun  halaman putih kosing  scan qr  masuk status merah  vaksin pdhl  vaksin  x aplikasi aneh nyusahin jd ngga  masuk kantor"
"520","Netral",0,"vaksin  yg   datanya uda droff out   vaksin  kemaren      utk vaksin  data  gk  dimasukin karna  apk nya vaksin boster    data vaksinasi    apk boster uda  telfon berkali kali ktanya gk      perbaiki     tolonglahk data   perbaiki   gk  phk  kerjaan klo  gk  dapatkan vaksin "
"521","Negatif",-7," ya smpe  ga  panggilan  vaksin   ga  update   aturan    vaksin  ga diupdate  aplikasi  kemana  terhambat urusan  gagal"
"522","Positif",2,"  susah  buka sertifikat vaksin yg  putih  pdhl udh updat   bagus tlng  perbaiki   uninstal lg kasih bintang aj "
"523","Negatif",-2," menilai aplikasi   menerima kritikan pedas  usernya   mengkritik  aplikasi   berteletele karna banyaknya  update     hasilnya nik     akun peduli lindung    dimatikan  check in ga   diberbagai   dev butuh kritikan  pengembangan aplikasinya  user berhak  komplain  service aplikasi    menyukai aplikasi pemerintah "
"524","Negatif",-3," daftar  aja ribet bgt berguna  kaya gak gunasebab  susah  gunain tolong   mudahin  biar gak mubazir  download apknya"
"525","Negatif",-3,"apk nya sngatlah buruktolong pakbu pemerintah apknya dperbaiki lgi  apk dbuat lokasi vaksin    diliat  lapangan  ketersediaan vaksin     faskes yg terdaftar  apk tdk memiliki kontak  akun medsos tuk  dihubungi  masyarakat kesulitan tuk  informasi yg  pemerintah menganjurkan tuk vaksin booster  ketersediaan vaksin   masyarakat  susah  aturan pemerintah"
"526","Positif",1,"payah aplikasi   masuk  disuruh perbaharui    lihat kartu vaksin udah habis  kuota gimana "
"527","Negatif",-3,"aplikasi terkonyol yg bikin  jd ribet udh pemaksaan   aplikasi  eh ga taunya data pribadi  jg ga amannn aneh"
"528","Netral",0,"      mental gak  masuk  app kalo      donwload app ya tekor kuota "
"529","Netral",0," daftar  gk  yah     daftar    peduli lindungi  daftar uda diblg ud krm kode    blm  daftar plis bantuin "
"530","Netral",0,"memalukan  disuruh update aplikasi   tdk   kartu vaksin   booster"
"531","Positif",4," bagus    gak  d buka peduli lindungi  berhenti tolong diperbaiki   butuh aplikasi   check inout masuk perusahaan terima kasih"
"532","Positif",2,"habis update    buka sertifikat vaksin   fungsi terpenting  fitur  berguna  statistik covid      lancar  payah "
"533","Positif",3,"halo kak  memiliki  umumkendala terkait pedulilindungi ketuk simbol  pojok kanan  halaman utama  ketuk nama      ketuk    informasi   terkait pedulilindungi   mengetuk  pedulilindungi terima kasih stay healthy"
"534","Netral",0,"aplikasi plat merah  gak becusmau liat sertifikat  gak bisapadahal  update mulu"
"535","Negatif",-2,"penulisan tanggal  lahir gk otonatis   klikmasa  scroll kebawah   klo  kelagiran an kebawah hah"
"536","Negatif",-2,"sumpah  aplikasi nge bug  gimana ya susah banget  login muter muter terusss  data udah bener data internet   gps udah aktif   lelet amaaattttt"
"537","Negatif",-2,"aplikasi sialan dah  dah vaksin  gak   klaim sertifikat vaksin    ptk kali aplikasi  kerja yg  napa instansi ni  gegara apk ni kerjaan gw  gak   nyari kerja susah  pemerintah gimana sih kerjanya kura kura"
"538","Negatif",-2,"    sertifikat vaksin      coba klaim      tulisan capcha salah   centang hijau  recapcha nya  informasi      sesuai     nge klaim"
"539","Positif",1,"aplikasi pedulilindungi mudah   masuk  ruang publik   perjalanan   kota"
"540","Netral",0,"  booster  sertifikat   udah booster  status  undangan gimana si"
"541","Netral",0,"suka versi terbaru  peduli lindungi  lengkap  fiturnya  mudah  mantap"
"542","Negatif",-1,"aplikasinya  update    login menghambat aktivitas  membutuhkan status vaksin"
"543","Positif",3,"  update  gak  nih aplikasi loading  save sertifikat gak masuk  galeri jaringan bagus stabil   lemot nih aplikasi udah pasang bongkar aplikasi  tetep bae lemot terima kasih"
"544","Negatif",-1,"aplikasi   membuang   mencari tnggl lahir butuh kesanaran    banyangkan orang  umur thn  tekan        ketik biar cepat  menemukannya"
"545","Netral",0,"kalo   aplikasi pedulilindungi tolong dengar penangan   aplikasi      kelola   vaksin   seminggu  sertifikat  aplikasi   terbit  sertifikat   proses registrasi   kode verifikasi       puas  pedulilindungi"
"546","Positif",2," aplikasi nya  yaa     covert sertifikat vaksin  versi who nya  butuh banget   kluar negri tolong  bantuan nya"
"547","Netral",0,"   vaksin    lihat sertifikatnya muncul skrg ga muncul  apk  nyedot kuotanya  banget"
"548","Netral",0,"terimakasih pedulilindungi mbantu memudahkan masyarakat indonesia  berurusan  perjalanan"
"549","Negatif",-1,"aplikasi  erorr trus  pencarian tgl lahir tolong dipermudah  kasihan yg  tua  sulit  mencari tgl lahirnya"
"550","Negatif",-2,"  membuka hasil sertifikat vaksin  muncul  layar hitam     buka  web hasil vaksinnya   uninstall  install ulang    error"
"551","Negatif",-1,"  vaksin   ko  muncul sertifikatnya   udah  muncul bilangnya    pake sertifikat vaksin   ko engga muncul muncul gimana   kerja kalo sertifikat aja     dibutuhkan aplikasi wajib  ko sistemnya buruk "
"552","Netral",0,"tolong    mengharuskan user  update   masuk aplikasi langsung dimuka ribet  user    genting    update  udah nyusahin  updatenya gede banget"
"553","Positif",1,"maaf  ko aplikasi nya susah    upgrade iyaa  sinyal udh bagus kapasitas memori   oke  aplikasi nya  upgrade  tertunda teruss"
"554","Negatif",-1,"aplikasi buruk cek sertifikat loading gak habishabis coba menu   jaringan internet bermasalah  internet aman lancar  berkendala"
"555","Negatif",-1,"apknya bagus cuman  parah   mencari sertifikat vaksindisitu  tanggal   lahir nggak  diketik   klik  persatu tahunya  "
"556","Netral",0,"tolong diperbaiki pengecekan isi database nya   mengisi nama    nik    keterangan mohon isikan nama  nik sesuai ktp  coba pakai huruf kapital huruf      aplikasi sekelas pemerintah  pakai  uang rakyat  kayak kualitas jutaan aja"
"557","Positif",1,"aplikasi     vaksin  login    daftar berhasil pas login user not found tolong diperbaiki aplikasi nya"
"558","Negatif",-2,"    cek sertifikat vaksin  aplikasinya pedulilindungi  sertifikatnya terpotong ya gambar sertifikatnya   berlembar  utuh  terpotong separuh    gangguan jaringan"
"559","Negatif",-2,"aplikasi    memuaskan  dibagian tiket vaksin dimana    verifikasi vaksin  negeri membutuhkan    berbeda  negara sebelah   butuh     menghubungi cs   mengabari   tiket booster  pelaku vaksin  negeri   vaksin ketiga  indonesia   keluarnya   pemerintah  mewajibkan  booster tolong perbaiki sistem "
"560","Negatif",-5,"ko  aplikasi peduli lindungi  isi nomor paspor ya     paspor  bepergian   kota   negeri   kemana  susah   scan barcode ga  kalo aplikasi peduli lindungi  isi nomor paspor tolong   perbaiki  biar  mudah kalo  scan barcode"
"561","Negatif",-3," buruk gini ya  cek sertivikat vaksin loading nya  eh   muncul layar putih doang hadehhh   membantu d   mendesak "
"562","Negatif",-1,"    mengahiri penggunaan aplikasi     bosan  jenuh   pakai aplikasi     metode    simple"
"563","Netral",0,"  mencari informasi  faskes terdekatuntuk  ketinggalan perolehan vaksinasiguna meningkatkan kualitas imunsesuai program pemerintah  pandemi    endemi disetiap wilayah indonesia"
"564","Netral",0," download wktu ferivikasi data nama  nik  sesuai ktp tp  apk wktu klik daftar keterangannya nama  nik  sesuai eror  gmn apk nya ya"
"565","Negatif",-2,"aplikasi peduli lindungi  ga    hp   hilang  login langsung masuk pas ganti hp ganti sim card kartu ga  login daftar masuk     akun peduli lindungi"
"566","Netral",0,"gajelas bgt gabisa daftar gabisa login   bolak  ngirim kode verifikasi tpi tetep gabisa tolong infonya gimana biar  daftar"
"567","Negatif",-1,"   gabisa daftar akunsaat  daftar    mengisi  data   coba  daftar   tulisan sesuaikan nama  nik   ktp yg  isi    tpi    mohon  tanggapi  cepat"
"568","Positif",3," daftar gak   notifnya nama  nik  sesuai  udah sesuai yakali gue gak terdaftar  warga negara indonesia kalo  ngasih rating bintang kosong gue kasih "
"569","Positif",2,"  mendaftar    muncul notif masukan nama  nik sesuai  ktp  udah sesuai ktp    tolong  perbaiki apknya"
"570","Netral",0,"  error foto identitas kosong  foto ktp  diupload  format    berhasil  verifikasi vaksin  negeri"
"571","Negatif",-2,"  diupdate ga  dibukak   tampilan putih polos gitu ya tolong bantuannya"
"572","Positif",1,"maaf sy kasi  habis vaksin sertivikatnya   keluardi vaksin  sehabis vaksin langsung  sertivikatnya    slow respon menanggapinya"
"573","Negatif",-4,"pliss ya  update  gua sampe ketinggalan kereta gegara  aplikasi  scan aja  update dlu udah tau buru buru"
"574","Negatif",-1,"    daftar  data      mencetak kartu vaksinasi  kelengkapan data  melamar pekerjaan     daftar "
"575","Negatif",-1,"appnya  update ga  improvisasi   crash   update  "
"576","Positif",2," download tp   daftar   nama  nik  sesuai  ktp  yg daya masukkan datanya sesuai  ktp "
"577","Negatif",-3,"tolong  bug nya diperbaiki   aplikasi pemerintah kalah ama apliaksi game buatan masyarakat   bug nya gk  buka aplikasi nya loh kak tolong   update  diperbaiki  bingung ni kalo masuk mall  dmn gitu"
"578","Netral",0," nomer hp  didaftarkan  sudh  aktif   download kartu vaksinnya    buka  email  nik   hasilnya    vaksin"
"579","Netral",0,"aplikasi   membantu  udah vaksin   sertifikat      gak   "
"580","Netral",0,"mohon   perbaiki  cek status sertifikat vaksin  stuck white screen"
"581","Positif",1,"ngga  masuk aplikasi loading   jaringan lancar jaya"
"582","Negatif",-1,"kak   updste   makan   orang tergesa  terjebak macet   tdk update apk langsung tutup mestinya   jalan salam"
"583","Positif",1,"aplikasi    perfungsi  karna  berkali update   tdk berpungsi"
"584","Negatif",-3,"aplikasi memaksa  update   update aplikasi   dibukadigunakan anak sy  vaksin  knp  aplikasi  menerima vaksin   lokasi yg sgt    rumah  diupdate jg  dr aplikasi  sekalinya kebuka lemot bgt   peningkatan  menurun mengecewakan bgt"
"585","Negatif",-3,"  login  gagal ya udah update loh  gagal trus tolong dipermudah ya  ditempat kerja  kalo masuk  chek in pake aplikasi "
"586","Netral",0,"aplikasi gak jelassss  log in aja gak  pas  daftar udah terdaftar"
"587","Negatif",-1,"  aplikasi yg sifatnya pelayanan  kaya gini gaperlu  update  pemakaian nya  sm tmn sy kemaren   krl  scan pake peduli lindungu  aplikasi nya gabisa  buka karna  update  penyimpanan hp penuh jd gabisa update sampe relain hapus apk    apknya  bgt  tolong  ya gaperlu  update  apk  "
"588","Netral",0,"  terkadang aplikasi    loodingnya  "
"589","Netral",0,"semenjak diupdate aplikasi nya   ngelag error  sertifikat vaksin  muncul   aplikasinya kalo sertifikat nya ngga muncul"
"590","Netral",0," berguna utk  persyaratan   adm transportasi  keamanan "
"591","Negatif",-3,"aplikasinya suka eror ga   klik captcha nya pas klaim sertifikat   bug  koneksi internet lancar"
"592","Positif",3,"  lumayan cepat kecepatan baca qr scanya    cepat  diupdate"
"593","Negatif",-1,"sertivikat vaksin aplikasi peduli lindungi  tampil blank  handphone samsung a   log in  hp    ya"
"594","Negatif",-1,"aduhh coba  aplikasinya     perbarui    emang  diupgrade     gtu aplikasinya  kadang  lg buru buru eh  suruh scen   diperbarui   lg memori hp nya ga   nyebelin"
"595","Negatif",-2," diperbaruhi   lambat  ya  cek seterfikat aja nggak "
"596","Positif",3,"aplikasi  wajib sifatnya  warga negara  ferformanya  buruk  sulit dibuka  perintahnya merepotkan    membantu  mendukung     genting   public space yg membutuhkan pindai dr aplikasi  terima kasih  direspon   cepat semoga   perbaikan  kemaslahatan "
"597","Netral",0,"tolong   perhatikan lgi aplikasinyamasa iya  ngecek sertivikat udah  trs yg muncul layar putih doang"
"598","Negatif",-1,"apk nya jelek  enak versi  nya  ngecek sertifikat vaksin nya  klik  timbul layar putih payah ga mempermudah pengguna nya"
"599","Negatif",-1," gimana si aplikasi nya udh  update   loading   udah gitu  liat sertifikat vaksin nya  ga  gambar nya putih   jaringan  bagus tolong perbaiki  bener tau gitu mending ga   update aplikasi nya"
"600","Positif",5,"bbrp   dipakai  update  utk update  space memori    utk update   orang  gawai yg memadai   diwajibkan pakai aplikasi  mestinya  opsi utk update     tdk  dipakai  tdk  update     diberitahukan    versi   dimatikan contoh wa   peringatan   sepele  mesti dikomplain  please bikin aplikasi yg ramah pengguna"
"601","Netral",0," masuk  yg mengharuskan barcode gara ga   buka  ga  masuk hufffff"
"602","Negatif",-2," nya no  hilang yg  terdaftar  peduli lindungi   daftarkan  no yg     dibantu  daftar ulang  cs nya  ikuti intruksi  tunggu    log in ulang  no yg   pas cek sertif sertif nya gk    app  klw  web log in  no yg  sertif nya   uninstall  instal  hasil   integrasi nya jelek banget  yah uninstall aja jelek app nya"
"603","Negatif",-1," lihat sertufikat  ga bs yacm putih sj    anggota kluarga   muncul   koneksi internet periksa  koneksi internet  pdhl koneksi internet  sj utk apk "
"604","Negatif",-1," vaksin    sertifikatnya   menghubungi nomor yg tertera  whatsapp  bilang nik salah   "
"605","Positif",2,"maaf aplikasinya   menguji kesabaran informasi  update pdahal jaringan lancar aman aman  tpi aplikasi peduli lindungi loading   layar putih  cek sertifikat mohon  tangani  krna sertifikat  butuhkan    perjalanan beralih cek  website  hasilnya    lambat  kode verifikasi   ulang x     masuk  whatsapp  sms"
